1000	2021-03-31T01:10:54.268477	model_1000_5.078671_4.758978.pkl	5.07867	4.75898
2000	2021-03-31T01:14:43.847640	model_2000_3.973845_4.073049.pkl	3.97384	4.07305
2999	2021-03-31T01:18:27.711913	model_2999_3.176285_3.594376.pkl	3.17629	3.59438
3999	2021-03-31T01:22:19.412030	model_3999_2.726706_3.442010.pkl	2.72671	3.44201
4998	2021-03-31T01:26:07.753028	model_4998_2.469678_3.288332.pkl	2.46968	3.28833
5998	2021-03-31T01:29:49.474346	model_5998_2.346423_3.222082.pkl	2.34642	3.22208
6997	2021-03-31T01:33:35.356011	model_6997_2.233234_3.269247.pkl	2.23323	3.26925
7997	2021-03-31T01:37:23.486927	model_7997_2.225054_3.242747.pkl	2.22505	3.24275
8996	2021-03-31T01:41:07.431375	model_8996_2.151790_3.073868.pkl	2.15179	3.07387
9996	2021-03-31T01:44:50.835606	model_9996_2.076800_3.141120.pkl	2.0768	3.14112
10996	2021-03-31T01:48:36.593871	model_10996_1.967845_3.092699.pkl	1.96785	3.0927
11996	2021-03-31T01:52:22.211839	model_11996_1.915402_3.079837.pkl	1.9154	3.07984
12995	2021-03-31T01:56:01.755875	model_12995_1.839613_3.016784.pkl	1.83961	3.01678
13995	2021-03-31T01:59:48.571983	model_13995_1.777046_3.068396.pkl	1.77705	3.0684
14995	2021-03-31T02:03:32.862565	model_14995_1.714043_2.987644.pkl	1.71404	2.98764
15994	2021-03-31T02:07:10.932143	model_15994_1.686243_3.061356.pkl	1.68624	3.06136
16994	2021-03-31T02:10:53.230421	model_16994_1.605248_3.026652.pkl	1.60525	3.02665
17994	2021-03-31T02:14:36.864470	model_17994_1.576139_3.021926.pkl	1.57614	3.02193
18994	2021-03-31T02:18:14.200399	model_18994_1.540842_3.005543.pkl	1.54084	3.00554
19993	2021-03-31T02:21:55.916504	model_19993_1.468489_3.050492.pkl	1.46849	3.05049
20992	2021-03-31T02:25:44.548393	model_20992_1.463387_3.049881.pkl	1.46339	3.04988
21992	2021-03-31T02:29:38.807904	model_21992_1.419927_3.043008.pkl	1.41993	3.04301
22992	2021-03-31T02:33:31.749445	model_22992_1.377898_3.021399.pkl	1.3779	3.0214
23991	2021-03-31T02:37:21.196681	model_23991_1.343152_3.025674.pkl	1.34315	3.02567
