Lang	Train	Dev	Tests
cym	"JW300, OPUS_EUbookshop_v2,   OPUS_Tatoeba_v20190709, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
dan	"EESC2017, EMA2016, GlobalVoices_2018Q4,rapid2016,OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
deu	" europarl_v10, news_commentary_v14, wmt13_commoncrawl, EESC2017, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2018_deen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	"newstest2019_deen, newstest2014_deen"
dhv	JW300		
dik	OPUS_bible_uedin_v1		
din	OPUS_wikimedia_v20190628		
diq	OPUS_wikimedia_v20190628		
div	"OPUS_GNOME_v1,  OPUS_Tanzil_v1, OPUS_wikimedia_v20190628"		
dje	OPUS_bible_uedin_v1		
djk	"JW300, OPUS_bible_uedin_v1"		
dng	OPUS_Tatoeba_v20190709		
dop	OPUS_bible_uedin_v1		
dsb	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
dtp	OPUS_Tatoeba_v20190709		
dty	OPUS_wikimedia_v20190628		
dua	JW300		
dws	OPUS_Tatoeba_v20190709		
dyu	JW300		
dzo	"OPUS_GNOME_v1,  OPUS_wikimedia_v20190628, OPUS100v1_train"		
ecs	JW300		
efi	"JW300, "		
egl	OPUS_Tatoeba_v20190709		
ell	"EESC2017, EMA2016, GlobalVoices_2018Q4, rapid2016, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
epo	"GlobalVoices_2018Q4, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
