#	ISO 639-3	Name	Sentences	 SourceTokens	 EnglishTokens
338	ALZ	Alur	 7,567	 154,509	 133,119
339	BZJ	Belize Kriol English	 6,905	 136,165	 119,827
340	IKU	Inuktitut	 5,244	 66,528	 113,112
341	POT	Potawatomi	 4,113	 108,987	 110,373
342	MXV	Metlatónoc Mixtec	 5,924	 176,367	 105,471
343	PDT	Plautdietsch	 6,019	 115,997	 104,913
344	SME	Northern Sami	 18,433	 96,152	 100,433
345	INA	Interlingua (International Auxiliary Language Association)	 12,194	 101,705	 99,401
346	ISH	Esan	 5,221	 112,815	 91,400
347	KEA	Kabuverdianu	 5,217	 102,331	 90,402
348	TSZ	Purepecha	 4,939	 79,259	 89,766
349	GLA	Scottish Gaelic	 8,444	 108,564	 87,714
350	TLH	Klingon	 12,602	 76,817	 87,087
351	JBO	Lojban	 11,470	 88,384	 83,024
352	CSN	Colombian Sign Language	 3,428	 71,580	 70,847
353	ALT	Southern Altai	 3,764	 52,407	 70,386
354	PSR	Portuguese Sign Language	 3,655	 70,060	 69,174
355	TOH	Gitonga	 3,898	 78,079	 65,345
356	YUE	Yue Chinese	 5,681	 77,996	 62,414
357	FSL	French Sign Language	 2,862	 58,931	 56,227
358	AST	Asturian	 9,261	 59,964	 54,602
359	FIL	Filipino	 2,125	 51,507	 47,398
360	SRD	Sardinian	 5,836	 50,985	 43,786
361	SCO	Scots	 853	 40,927	 41,327
362	ECS	Ecuadorian Sign Language	 2,019	 38,677	 39,731
363	FUR	Friulian	 5,791	 42,727	 37,760
364	YID	Yiddish	 4,039	 32,533	 33,128
365	MEN	Mende (Sierra Leone)	 1,668	 36,531	 28,675
366	GOM	Goan Konkani	 722	 24,148	 26,834
367	LIM	Limburgan	 4,491	 25,040	 24,410
368	LFN	Lingua Franca Nova	 3,443	 26,131	 24,227
369	COR	Cornish	 4,105	 24,498	 23,815
370	MAI	Maithili	 4,256	 23,102	 20,698
371	VSL	Venezuelan Sign Language	 958	 17,798	 18,472
372	CBK	Chavacano	 2,423	 17,255	 16,912
373	ILE	Interlingue	 2,570	 16,439	 16,599
374	VOL	Volapük	 2,338	 12,510	 15,481
375	DTP	Kadazan Dusun	 1,831	 12,814	 12,803
376	MIN	Minangkabau	 330	 11,492	 11,998
377	TET	Tetum	 406	 11,359	 10,648
378	PAM	Pampanga	 1,448	 8,955	 10,276
379	ZSM	Standard Malay	 1,158	 9,170	 10,106
380	PRL	Peruvian Sign Language	 529	 8,562	 9,567
381	ZIB	Zimbabwe Sign Language	 356	 9,497	 9,249
382	CRH	Crimean Tatar	 1,361	 8,351	 8,996
383	KHA	Khasi	 1,277	 9,156	 8,623
384	ASE	American Sign Language	 538	 8,038	 8,382
385	BFI	British Sign Language	 384	 7,005	 8,302
386	ARQ	Algerian Arabic	 919	 5,587	 7,531
387	BOD	Tibetan	 1,029	 17,081	 6,956
388	ZPA	Lachiguiri Zapotec	 359	 6,326	 6,549
389	LZH	Literary Chinese	 531	 5,024	 6,379
390	GOS	Gronings	 986	 4,727	 4,963
391	GRC	Ancient Greek (To 1453)	 568	 3,778	 4,845
392	NST	Tase Naga	 769	 5,773	 4,794
393	CSG	Chilean Sign Language	 329	 4,320	 4,734
394	GOR	Gorontalo	 111	 4,034	 4,651
395	MZY	Mozambican Sign Language	 244	 4,364	 4,447
396	CKB	Central Kurdish	 1,040	 4,332	 4,400
397	ANG	Old English (Ca. 450-1100)	 993	 4,273	 4,088
398	CSB	Kashubian	 892	 4,280	 4,070
399	OTA	Ottoman Turkish (1500-1928)	 622	 3,564	 4,032
400	KAS	Kashmiri	 701	 3,855	 3,743
401	SAT	Santali	 101	 3,263	 3,604
402	HOC	Ho	 631	 3,038	 3,520
403	ZZA	Zaza	 505	 2,895	 3,194
404	COS	Corsican	 75	 2,984	 2,880
405	DZO	Dzongkha	 449	 8,250	 2,871
406	INL	Indonesian Sign Language	 206	 2,459	 2,814
407	DIQ	Dimli (Individual)	 74	 1,924	 2,669
408	GRN	Guarani	 229	 1,883	 2,577
409	SWH	Swahili (Individual)	 369	 1,826	 2,522
410	WAE	Walser	 512	 2,416	 2,483
411	LAD	Ladino	 371	 2,196	 2,412
412	ACE	Achinese	 446	 2,783	 2,409
413	ASF	Auslan	 149	 2,413	 2,322
414	AKA	Akan	 61	 2,214	 2,225
415	JAM	Jamaican Creole English	 61	 2,060	 2,166
416	ORV	Old Russian	 313	 1,749	 2,144
417	PMS	Piemontese	 263	 2,626	 2,133
418	GSW	Swiss German	 220	 1,914	 2,052
419	XAL	Kalmyk	 268	 1,624	 2,041
420	CSF	Cuba Sign Language	 117	 1,816	 1,946
421	ZSL	Zambian Sign Language	 96	 2,299	 1,915
422	INS	Indian Sign Language	 208	 1,754	 1,905
423	NAN	Min Nan Chinese	 88	 2,352	 1,894
424	MAX	North Moluccan Malay	 268	 1,981	 1,857
425	PRG	Prussian	 213	 1,526	 1,717
426	GOT	Gothic	 207	 4,340	 1,698
427	BXR	Russia Buriat	 44	 1,221	 1,658
428	TCY	Tulu	 47	 1,265	 1,541
429	SAH	Yakut	 65	 1,042	 1,537
430	FRP	Arpitan	 473	 1,820	 1,485
431	KAU	Kanuri	 285	 2,936	 1,453
432	BVL	Bolivian Sign Language	 98	 1,188	 1,391
433	NOV	Novial	 187	 1,268	 1,296
434	HRX	Hunsrik	 214	 1,300	 1,247
435	AWA	Awadhi	 248	 1,249	 1,246
436	AVK	Kotava	 157	 933	 1,221
437	PIH	Pitcairn-Norfolk	 39	 1,425	 1,195
438	PYS	Paraguayan Sign Language	 90	 971	 1,150
439	NEW	Newari	 38	 993	 1,101
440	HIF	Fiji Hindi	 45	 777	 1,044
441	MZN	Mazanderani	 47	 770	 1,002
442	BHO	Bhojpuri	 55	 858	 908
443	SAN	Sanskrit	 150	 725	 887
444	HAW	Hawaiian	 94	 824	 874
445	DTY	Dotyali	 24	 874	 804
446	PDC	Pennsylvania German	 65	 706	 734
447	RUE	Rusyn	 113	 479	 683
448	KRL	Karelian	 135	 655	 682
449	DSB	Lower Sorbian	 37	 471	 677
450	SHN	Shan	 150	 1,926	 652
451	EXT	Extremaduran	 65	 588	 628
452	CHO	Choctaw	 107	 595	 624
453	FKV	Kven Finnish	 56	 528	 622
454	QYA	Quenya	 100	 423	 581
455	GLK	Gilaki	 12	 268	 521
456	TPW	Tupí	 87	 520	 518
457	TZL	Talossan	 108	 480	 483
458	MHR	Eastern Mari	 69	 379	 482
459	RMY	Vlax Romani	 10	 522	 467
460	NOG	Nogai	 80	 326	 464
461	NPI	Nepali (Individual)	 98	 380	 457
462	EGL	Emilian	 81	 499	 456
463	GCF	Guadeloupean Creole French	 78	 464	 446
464	LDN	Láadan	 76	 464	 430
465	SFS	South African Sign Language	 30	 380	 428
466	MWW	Hmong Daw	 74	 497	 408
467	LIJ	Ligurian	 52	 419	 385
468	AFB	Gulf Arabic	 69	 303	 370
469	KSH	Kölsch	 23	 385	 358
